x,y,z_current,spindle_current,force_phy,force_hybrid,delta_f,stiffness,delta_k
0.000000000000000000e+00,0.000000000000000000e+00,4.536566049570531334e+00,8.686744880550996584e+00,-1.388662418339597160e+01,-8.341845163164069987e-01,1.305243966707956460e+01,3.610000000000000000e+03,2.888000000000000114e+02
2.000333388898149767e-02,7.499158144046569330e-02,4.786094449771621129e+00,8.663044304864101264e+00,-1.344509876463420994e+01,-3.926590975546453421e-01,1.305243966707956460e+01,3.610234297019551377e+03,2.888187437615641215e+02
4.000666777796299534e-02,1.499815916965223928e-01,5.011838463806710386e+00,8.734980503102349303e+00,-1.305710647319800266e+01,-4.666806118438060480e-03,1.305243966707956460e+01,3.610461108988813066e+03,2.888368887191050476e+02
6.001000166694449300e-02,2.249684596345682130e-01,5.045542334657975303e+00,8.712910077521737406e+00,-1.310656027024345249e+01,-5.412060316388789261e-02,1.305243966707956460e+01,3.610680437145835185e+03,2.888544349716668194e+02
8.001333555592599067e-02,2.999506142226136540e-01,4.709438300455342841e+00,8.423989238905692289e+00,-1.399926983816500226e+01,-9.468301710854376552e-01,1.305243966707956460e+01,3.610892283864661749e+03,2.888713827091729627e+02
1.000166694449074745e-01,3.749264845810836855e-01,4.798185878285867290e+00,8.704927314568370988e+00,-1.392229648431012734e+01,-8.698568172305627400e-01,1.305243966707956460e+01,3.611096652654549871e+03,2.888877322123639715e+02
1.200200033338889860e-01,4.498945000336146416e-01,4.980669340923544297e+00,8.579451832011793400e+00,-1.363085966719184405e+01,-5.784200001122794532e-01,1.305243966707956460e+01,3.611293548158883823e+03,2.889034838527107354e+02
1.400233372228704698e-01,5.248530901578445373e-01,4.938255868389131109e+00,8.544383555117718743e+00,-1.385219887033875530e+01,-7.997592032591906985e-01,1.305243966707956460e+01,3.611482976153778054e+03,2.889186380923022739e+02
1.600266711118519813e-01,5.998006848361945309e-01,4.985059977385689400e+00,8.641405148910910938e+00,-1.386941688537692308e+01,-8.169772182973584762e-01,1.305243966707956460e+01,3.611664943546365976e+03,2.889331954837093122e+02
1.800300050008334929e-01,6.747357143066414764e-01,4.895575868453971857e+00,8.687691451371987839e+00,-1.419735076114244166e+01,-1.144911094062877055e+00,1.305243966707956460e+01,3.611839458372785884e+03,2.889471566698229026e+02
2.000333388898149489e-01,7.496566092134764325e-01,5.114327044084693519e+00,8.521855385703164032e+00,-1.382091610277174532e+01,-7.684764356921807149e-01,1.305243966707956460e+01,3.612006529795854931e+03,2.889605223836683763e+02
2.200366727787964605e-01,8.245618006580528458e-01,5.112984828236486479e+00,8.707750389507685540e+00,-1.394660128620597561e+01,-8.941616191264110114e-01,1.305243966707956460e+01,3.612166168102437041e+03,2.889732934481949655e+02
2.400400066677779720e-01,8.994497202495159716e-01,5.038415588341748297e+00,8.710691315478705121e+00,-1.423912117354980644e+01,-1.186681506470241843e+00,1.305243966707956460e+01,3.612318384700505248e+03,2.889854707760404153e+02
2.600433405567594281e-01,9.743188001555189715e-01,5.176593796695263983e+00,8.651592126404269223e+00,-1.404509259383088171e+01,-9.926529267513171106e-01,1.305243966707956460e+01,3.612463192115898892e+03,2.889970553692718909e+02
2.800466744457409396e-01,1.049167473152917918e+00,5.108248998182323142e+00,8.576603937767680819e+00,-1.432248514845656118e+01,-1.270045481376996577e+00,1.305243966707956460e+01,3.612600603988776129e+03,2.890080483191021017e+02
3.000500083347224511e-01,1.123994172678448145e+00,4.959845124996911103e+00,8.565813444159619650e+00,-1.478246313985192373e+01,-1.730023472772359128e+00,1.305243966707956460e+01,3.612730635069767231e+03,2.890184508055813808e+02
3.200533422237039627e-01,1.198797332879376842e+00,5.118011217140964852e+00,8.724358255903162274e+00,-1.454119930072112155e+01,-1.488759633641556945e+00,1.305243966707956460e+01,3.612853301215825468e+03,2.890282640972660602e+02
3.400566761126854187e-01,1.273575388664135444e+00,4.969483914239823719e+00,8.519476103045523274e+00,-1.500062887766620889e+01,-1.948189210586644293e+00,1.305243966707956460e+01,3.612968619385780585e+03,2.890374895508624604e+02
3.600600100016669858e-01,1.348326775752923590e+00,5.200739609123688822e+00,8.723592107638745929e+00,-1.459113794130193043e+01,-1.538698274222365825e+00,1.305243966707956460e+01,3.613076607635594428e+03,2.890461286108475747e+02
3.800633438906484418e-01,1.423049930728286450e+00,5.100096497084097180e+00,8.623249500959033753e+00,-1.494017421239197851e+01,-1.887734545312413914e+00,1.305243966707956460e+01,3.613177285113323705e+03,2.890541828090658782e+02
4.000666777796298978e-01,1.497743291085666062e+00,5.094651687452373068e+00,8.626800138002646889e+00,-1.507102115677389165e+01,-2.018581489694327047e+00,1.305243966707956460e+01,3.613270672053788076e+03,2.890616537643030597e+02
4.200700116686114649e-01,1.572405295283919813e+00,5.045855967111824825e+00,8.495791939821252470e+00,-1.530058999830423083e+01,-2.248150331224666232e+00,1.305243966707956460e+01,3.613356789772950378e+03,2.890685431818360485e+02
4.400733455575929209e-01,1.647034382795807606e+00,5.284988837647004445e+00,8.618644372110100704e+00,-1.487077951902457862e+01,-1.818339851945014018e+00,1.305243966707956460e+01,3.613435660662008104e+03,2.890748528529606460e+02
4.600766794465744325e-01,1.721628994158446169e+00,5.130439974564890093e+00,8.677382073401920692e+00,-1.534141902847765060e+01,-2.288979361398085999e+00,1.305243966707956460e+01,3.613507308181196549e+03,2.890805846544957376e+02
4.800800133355559440e-01,1.796187571023728058e+00,5.108266328814174528e+00,8.519266834730878202e+00,-1.550864842239110075e+01,-2.456208755311536152e+00,1.305243966707956460e+01,3.613571756853315037e+03,2.890857405482652212e+02
5.000833472245374001e-01,1.870708556208701134e+00,5.128073566168952269e+00,8.663925898867107733e+00,-1.557928988746729893e+01,-2.526850220387734325e+00,1.305243966707956460e+01,3.613629032256967093e+03,2.890903225805573697e+02
5.200866811135188561e-01,1.945190393745915181e+00,5.244851640260431935e+00,8.628982474996684360e+00,-1.542736055891205282e+01,-2.374920891832488223e+00,1.305243966707956460e+01,3.613679161019527328e+03,2.890943328815621953e+02
5.400900150025004232e-01,2.019631528933720332e+00,5.235453045148867446e+00,8.568158689036735609e+00,-1.556386467630052550e+01,-2.511425009220960902e+00,1.305243966707956460e+01,3.613722170809832733e+03,2.890977736647866436e+02
5.600933488914818792e-01,2.094030408386530873e+00,5.251732417949387610e+00,8.685801908803030713e+00,-1.564106692264395271e+01,-2.588627255564388108e+00,1.305243966707956460e+01,3.613758090330601135e+03,2.891006472264480749e+02
5.800966827804634462e-01,2.168385480085041728e+00,5.264486555227231968e+00,8.438987827810278120e+00,-1.572584882777592696e+01,-2.673409160696362363e+00,1.305243966707956460e+01,3.613786949310584532e+03,2.891029559448467694e+02
6.001000166694449023e-01,2.242695193426399225e+00,5.480347317418628350e+00,8.640614625108606006e+00,-1.534468345357499075e+01,-2.292243786495426150e+00,1.305243966707956460e+01,3.613808778496457307e+03,2.891047022797166051e+02
6.201033505584263583e-01,2.316957999274326774e+00,5.185118672440856891e+00,8.740118368223946277e+00,-1.613430518932566926e+01,-3.081865522246104661e+00,1.305243966707956460e+01,3.613823609644436601e+03,2.891058887715549304e+02
6.401066844474079254e-01,2.391172350009202141e+00,5.182934774755484142e+00,8.723414098932783745e+00,-1.625188162003179571e+01,-3.572318539378128932e+00,1.267956308065366677e+01,3.613831475511657572e+03,2.891065180409325990e+02
6.601100183363893814e-01,2.465336699578080548e+00,5.157242423180607993e+00,8.637030088212934942e+00,-1.642287154043856745e+01,-3.127309954085164989e+00,1.329556158635340246e+01,3.613832409847278541e+03,2.891065927877822901e+02
6.801133522253708374e-01,2.539449503544670694e+00,5.339279013537496787e+00,8.579309911770289787e+00,-1.611702472048886392e+01,-3.390650405760482045e+00,1.272637431472838188e+01,3.613826447383350114e+03,2.891061157906680137e+02
7.001166861143524045e-01,2.613509219139256601e+00,5.411278839336680413e+00,8.550151024442360637e+00,-1.606292615996677853e+01,-2.632602288450614836e+00,1.343032387151616369e+01,3.613813623825426021e+03,2.891050899060340953e+02
7.201200200033339716e-01,2.687514305308560392e+00,5.272542766789694468e+00,8.574324164958623484e+00,-1.649170578647270347e+01,-3.528553175749182813e+00,1.296315261072352065e+01,3.613793975842937925e+03,2.891035180674350613e+02
7.401233538923153166e-01,2.761463222765550451e+00,5.195784866932301682e+00,8.639578066084931507e+00,-1.677789900403545431e+01,-3.585192142495941425e+00,1.319270686153951289e+01,3.613767541059328778e+03,2.891014032847463113e+02
7.601266877812968836e-01,2.835354434039194071e+00,5.208025236454510321e+00,8.528981613032467379e+00,-1.685942795862367305e+01,-3.924868581792864575e+00,1.293455937683080847e+01,3.613734358041948781e+03,2.890987486433559184e+02
7.801300216702784507e-01,2.909186403524143927e+00,5.395364883459774497e+00,8.651615144010483149e+00,-1.653857315189235422e+01,-3.475779594160821162e+00,1.306279355773153306e+01,3.613694466291725803e+03,2.890955573033380688e+02
8.001333555592597957e-01,2.982957597530368155e+00,5.416785719171762103e+00,8.759106808700700242e+00,-1.659795100043622540e+01,-3.695481083613021411e+00,1.290246991682320399e+01,3.613647906232602963e+03,2.890918324986082553e+02
8.201366894482413628e-01,3.056666484332712486e+00,5.403045180420029681e+00,8.580908763727778776e+00,-1.673754391448420620e+01,-3.738726703726642953e+00,1.299881721075756325e+01,3.613594719200759755e+03,2.890875775360607918e+02
8.401400233372229298e-01,3.130311534220402425e+00,5.268246211708288662e+00,8.475686140387262313e+00,-1.715463878949762488e+01,-3.753184307199060044e+00,1.340145448229856484e+01,3.613534947433610341e+03,2.890827957946888205e+02
8.601433572262042748e-01,3.203891219546471270e+00,5.386175983506124254e+00,8.473009415400341027e+00,-1.699089691567077764e+01,-3.662957628593101589e+00,1.332793928707767606e+01,3.613468634058591761e+03,2.890774907246873227e+02
8.801466911151858419e-01,3.277404014777128172e+00,5.382495993026766179e+00,8.640038600804276214e+00,-1.710591355022016202e+01,-3.851311687719270793e+00,1.325460186250089123e+01,3.613395823081738854e+03,2.890716658465391333e+02
9.001500250041674089e-01,3.350848396541050711e+00,5.404880507265656497e+00,8.570431239027541892e+00,-1.716055066372415183e+01,-4.305940945438555545e+00,1.285460971828559629e+01,3.613316559376062742e+03,2.890653247500850398e+02
9.201533588931488650e-01,3.424222843678607298e+00,5.493319905085952470e+00,8.642628322072640756e+00,-1.706288455833158935e+01,-4.134343869961528029e+00,1.292854068837006132e+01,3.613230888669719207e+03,2.890584710935775661e+02
9.401566927821302100e-01,3.497525837291003192e+00,5.425656180173194620e+00,8.527035494350403866e+00,-1.732341336965167500e+01,-4.359786805197725101e+00,1.296362656445394990e+01,3.613138857533991086e+03,2.890511086027192960e+02
9.601600266711118881e-01,3.570755860789361691e+00,5.490335583568405120e+00,8.633394096550603081e+00,-1.727928302656663462e+01,-4.181319329110820604e+00,1.309796369745581401e+01,3.613040513371076486e+03,2.890432410696861325e+02
9.801633605600933441e-01,3.643911399943712048e+00,5.426980960145589172e+00,8.551471980844295828e+00,-1.752895375398594169e+01,-4.223989926942108397e+00,1.330496382704383329e+01,3.612935904401691914e+03,2.890348723521353804e+02
1.000166694449074800e+00,3.716990942931916564e+00,5.463534887128787432e+00,8.502701145933619031e+00,-1.754843854693478278e+01,-4.089542593670145720e+00,1.345889595326463706e+01,3.612825079652496242e+03,2.890260063721997312e+02
1.020170028338056367e+00,3.789992980388508403e+00,5.514527105639439597e+00,8.526361132730642112e+00,-1.753418544843507476e+01,-4.451135199891368188e+00,1.308305024854370657e+01,3.612708088943339590e+03,2.890166471154671513e+02
1.040173362227037712e+00,3.862916005453443713e+00,5.273807953891211930e+00,8.459790320887673687e+00,-1.819037980307923164e+01,-5.300055161571012974e+00,1.289032464150821866e+01,3.612584982874338039e+03,2.890067986299470704e+02
1.060176696116019279e+00,3.935758513820785787e+00,5.420161719892451657e+00,8.711791343681110078e+00,-1.795576310869141068e+01,-5.191751172910478829e+00,1.276401193578093185e+01,3.612455812812793283e+03,2.889964650250234968e+02
1.080180030005000846e+00,4.008519003787291091e+00,5.411893948836465462e+00,8.541994329937635300e+00,-1.807630548312040730e+01,-4.934105410337737752e+00,1.314220007278266955e+01,3.612320630879939472e+03,2.889856504703951714e+02
1.100183363893982413e+00,4.081195976300908690e+00,5.401449825794952808e+00,8.598302820654772916e+00,-1.820135565748754303e+01,-4.900950088717323183e+00,1.330040556877021984e+01,3.612179489937546350e+03,2.889743591950037285e+02
1.120186697782963758e+00,4.153787935009205512e+00,5.454834010028561941e+00,8.500803641314851333e+00,-1.817898995144708607e+01,-4.879917124666638628e+00,1.329907282678044744e+01,3.612032443574364606e+03,2.889625954859491799e+02
